retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales
Foot Locker,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75.0,275,20625.0
Foot Locker,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,53.0,83,4399.0
Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34.0,384,13056.0
Foot Locker,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,68.0,83,5644.0
Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47.0,336,15792.0
Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,50000.0
Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,36.0,320,11520.0
Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,47.0,260,12220.0
Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,36.0,250,9000.0
Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,1000,40000.0
Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,32.0,350,11200.0
Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,36.0,281,10116.0
Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,38250.0
Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,41.0,247,10127.0
Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,55.0,234,12870.0
Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,43.0,306,13158.0
Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,1000,50000.0
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,46.0,260,11960.0
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,38.0,330,12540.0
Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33.0,388,12804.0
Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,46.0,313,14398.0
Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,45000.0
Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,39.0,315,12285.0
Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,46.0,261,12006.0
