retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales
Kohl's,2020-12-28,Midwest,Minnesota,Minneapolis,Men's Street Footwear,32.0,119,3808.0
Kohl's,2020-12-28,Midwest,Minnesota,Minneapolis,Men's Street Footwear,35.0,475,16625.0
Kohl's,2020-12-29,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,43.0,128,5504.0
Kohl's,2020-12-29,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45.0,475,21375.0
Kohl's,2020-12-30,Midwest,Minnesota,Minneapolis,Women's Street Footwear,45.0,475,21375.0
Kohl's,2020-12-30,Midwest,Minnesota,Minneapolis,Women's Street Footwear,41.0,119,4879.0
Kohl's,2020-12-31,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,45.0,325,14625.0
Kohl's,2020-12-31,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,44.0,98,4312.0
Kohl's,2021-01-01,Midwest,Montana,Billings,Men's Apparel,50.0,275,13750.0
Kohl's,2021-01-01,Midwest,Montana,Billings,Men's Apparel,47.0,77,3619.0
Kohl's,2021-01-02,Midwest,Montana,Billings,Women's Apparel,43.0,138,5934.0
Kohl's,2021-01-02,Midwest,Montana,Billings,Women's Apparel,45.0,475,21375.0
Kohl's,2021-01-03,Midwest,Montana,Billings,Men's Street Footwear,34.0,158,5372.0
Kohl's,2021-01-03,Midwest,Montana,Billings,Men's Street Footwear,35.0,525,18375.0
Kohl's,2021-01-04,Midwest,Montana,Billings,Men's Athletic Footwear,45.0,425,19125.0
Kohl's,2021-01-04,Midwest,Montana,Billings,Men's Athletic Footwear,42.0,123,5166.0
Kohl's,2021-01-05,Midwest,Montana,Billings,Women's Street Footwear,43.0,122,5246.0
Kohl's,2021-01-05,Midwest,Montana,Billings,Women's Street Footwear,45.0,450,20250.0
Kohl's,2021-01-06,Midwest,Montana,Billings,Women's Athletic Footwear,45.0,300,13500.0
Kohl's,2021-01-06,Midwest,Montana,Billings,Women's Athletic Footwear,44.0,81,3564.0
Kohl's,2021-01-07,Midwest,Montana,Billings,Men's Apparel,50.0,225,11250.0
Kohl's,2021-01-07,Midwest,Montana,Billings,Men's Apparel,48.0,59,2832.0
Kohl's,2021-01-08,Midwest,Montana,Billings,Women's Apparel,43.0,119,5117.0
Kohl's,2021-01-08,Midwest,Montana,Billings,Women's Apparel,45.0,425,19125.0
Kohl's,2021-01-09,Midwest,Montana,Billings,Men's Street Footwear,32.0,173,5536.0
Kohl's,2021-01-09,Midwest,Montana,Billings,Men's Street Footwear,35.0,575,20125.0
Kohl's,2021-01-10,Northeast,Delaware,Wilmington,Women's Athletic Footwear,30.0,125,3750.0
Kohl's,2021-01-10,Northeast,Delaware,Wilmington,Men's Apparel,45.0,175,7875.0
Kohl's,2021-01-10,Northeast,Delaware,Wilmington,Men's Street Footwear,32.0,138,4416.0
