retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales
Sports Direct,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,65.0,1075,69875.0
Sports Direct,2020-05-24,Southeast,Florida,Miami,Women's Athletic Footwear,54.0,209,11286.0
Sports Direct,2020-05-24,Southeast,Florida,Miami,Women's Street Footwear,55.0,825,45375.0
Sports Direct,2020-05-24,Southeast,Florida,Miami,Women's Athletic Footwear,55.0,775,42625.0
Sports Direct,2020-05-24,Southeast,Florida,Miami,Men's Athletic Footwear,51.0,254,12954.0
Sports Direct,2020-05-24,Southeast,Florida,Miami,Men's Athletic Footwear,55.0,875,48125.0
Sports Direct,2020-05-24,Southeast,Florida,Miami,Women's Street Footwear,52.0,248,12896.0
Sports Direct,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,63.0,323,20349.0
Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,20.0,270,5400.0
Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,22500.0
Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,24.0,234,5616.0
Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,26.0,270,7020.0
Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,34.0,225,7650.0
Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,31500.0
Sports Direct,2020-07-21,Northeast,New York,New York,Women's Street Footwear,27.0,238,6426.0
Sports Direct,2020-07-21,Northeast,New York,New York,Women's Street Footwear,33.0,210,6930.0
Sports Direct,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,24500.0
Sports Direct,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,24500.0
Sports Direct,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,34.0,175,5950.0
Sports Direct,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,27.0,210,5670.0
Sports Direct,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,22000.0
Sports Direct,2020-07-23,South,Texas,Houston,Men's Apparel,36.0,154,5544.0
Sports Direct,2020-07-23,South,Texas,Houston,Men's Apparel,26.0,176,4576.0
Sports Direct,2020-07-24,South,Texas,Houston,Women's Apparel,34.0,203,6902.0
Sports Direct,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700,24500.0
Sports Direct,2020-07-24,South,Texas,Houston,Women's Apparel,25.0,224,5600.0
Sports Direct,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,21250.0
Sports Direct,2020-07-25,South,Texas,Houston,Men's Street Footwear,20.0,255,5100.0
Sports Direct,2020-07-25,South,Texas,Houston,Men's Street Footwear,23.0,213,4899.0
Sports Direct,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,33.0,255,8415.0
Sports Direct,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,23.0,289,6647.0
Sports Direct,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,29750.0
Sports Direct,2020-07-27,South,Texas,Houston,Women's Street Footwear,32.0,176,5632.0
Sports Direct,2020-07-27,South,Texas,Houston,Women's Street Footwear,27.0,236,6372.0
Sports Direct,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,34.0,175,5950.0
Sports Direct,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,26.0,213,5538.0
Sports Direct,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,21875.0
Sports Direct,2020-07-29,South,Texas,Houston,Men's Apparel,38.0,125,4750.0
Sports Direct,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500,20000.0
Sports Direct,2020-07-29,South,Texas,Houston,Men's Apparel,28.0,160,4480.0
Sports Direct,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,24500.0
