retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales
Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,43.0,279,11997.0
Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0
Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,54.0,270,14580.0
Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,1075,69875.0
Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,62.0,290,17980.0
Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,48.0,355,17040.0
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39.0,408,15912.0
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,56.0,360,20160.0
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,1200,72000.0
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,55000.0
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,43.0,350,15050.0
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,50.0,270,13500.0
Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,36.0,315,11340.0
Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925,46250.0
Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,47.0,268,12596.0
Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34.0,306,10404.0
Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,47.0,252,11844.0
Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,45000.0
Walmart,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0
Walmart,2020-04-23,Northeast,New York,New York,Men's Apparel,44.0,315,13860.0
Walmart,2020-04-23,Northeast,New York,New York,Men's Apparel,58.0,252,14616.0
Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,1000,65000.0
Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,45.0,350,15750.0
Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,59.0,280,16520.0
Walmart,2020-04-25,Northeast,New York,New York,Men's Apparel,64.0,236,15104.0
Walmart,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875,56875.0
Walmart,2020-04-25,Northeast,New York,New York,Men's Apparel,51.0,289,14739.0
Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,50.0,330,16500.0
Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,68.0,290,19720.0
Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,1000,70000.0
Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,1150,74750.0
Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,60.0,299,17940.0
Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46.0,403,18538.0
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.0,975,53625.0
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,40.0,312,12480.0
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,53.0,273,14469.0
Walmart,2020-04-29,Northeast,New York,New York,Women's Street Footwear,52.0,258,13416.0
Walmart,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.0,920,50600.0
