retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales
West Gear,2020-01-02,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,27.0,158,4266.0
West Gear,2020-01-02,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32.0,122,3904.0
West Gear,2020-01-02,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35.0,450,15750.0
West Gear,2020-01-03,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,35.0,135,4725.0
West Gear,2020-01-03,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44.0,117,5148.0
West Gear,2020-01-03,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45.0,450,20250.0
West Gear,2020-01-04,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36.0,140,5040.0
West Gear,2020-01-04,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,41.0,117,4797.0
West Gear,2020-01-04,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45.0,450,20250.0
West Gear,2020-01-05,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,34.0,90,3060.0
West Gear,2020-01-05,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43.0,87,3741.0
West Gear,2020-01-05,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45.0,300,13500.0
West Gear,2020-01-06,West,Nevada,Las Vegas,Men's Apparel,47.0,70,3290.0
West Gear,2020-01-06,West,Nevada,Las Vegas,Men's Apparel,50.0,250,12500.0
West Gear,2020-01-06,West,Nevada,Las Vegas,Men's Apparel,37.0,80,2960.0
West Gear,2020-01-07,West,Nevada,Las Vegas,Women's Apparel,45.0,475,21375.0
West Gear,2020-01-07,West,Nevada,Las Vegas,Women's Apparel,36.0,166,5976.0
West Gear,2020-01-07,West,Nevada,Las Vegas,Women's Apparel,41.0,128,5248.0
West Gear,2020-01-08,West,Nevada,Las Vegas,Men's Street Footwear,34.0,158,5372.0
West Gear,2020-01-08,West,Nevada,Las Vegas,Men's Street Footwear,35.0,525,18375.0
West Gear,2020-01-08,West,Nevada,Las Vegas,Men's Street Footwear,27.0,173,4671.0
West Gear,2020-01-09,West,Nevada,Las Vegas,Men's Athletic Footwear,45.0,425,19125.0
West Gear,2020-01-09,West,Nevada,Las Vegas,Men's Athletic Footwear,43.0,128,5504.0
West Gear,2020-01-09,West,Nevada,Las Vegas,Men's Athletic Footwear,35.0,145,5075.0
West Gear,2020-01-10,West,Nevada,Las Vegas,Women's Street Footwear,41.0,119,4879.0
West Gear,2020-01-10,West,Nevada,Las Vegas,Women's Street Footwear,45.0,425,19125.0
West Gear,2020-01-10,West,Nevada,Las Vegas,Women's Street Footwear,31.0,140,4340.0
West Gear,2020-01-11,West,Nevada,Las Vegas,Women's Athletic Footwear,30.0,85,2550.0
West Gear,2020-01-11,West,Nevada,Las Vegas,Women's Athletic Footwear,45.0,275,12375.0
West Gear,2020-01-11,West,Nevada,Las Vegas,Women's Athletic Footwear,44.0,74,3256.0
West Gear,2020-01-12,West,Nevada,Las Vegas,Men's Apparel,50.0,200,10000.0
West Gear,2020-01-12,West,Nevada,Las Vegas,Men's Apparel,37.0,70,2590.0
West Gear,2020-01-12,West,Nevada,Las Vegas,Men's Apparel,46.0,52,2392.0
West Gear,2020-01-13,West,Nevada,Las Vegas,Women's Apparel,41.0,116,4756.0
