iter	RMSE
0	0.8389405979
1	0.7676758385
2	0.7182548139
3	0.6956467012
4	0.6839084103
5	0.6734003068
6	0.6556067045
7	0.6438417197
8	0.6332968319
9	0.6295456692
10	0.6180412309
11	0.6001493832
12	0.5968964019
13	0.5932256016
14	0.5899737597
15	0.5738893585
16	0.5721722924
17	0.5693234444
18	0.5573345432
19	0.55010119
20	0.5446704282
21	0.5353602227
22	0.5300903695
23	0.5252400493
24	0.5141423056
25	0.5058387421
26	0.5010515835
27	0.4961014507
28	0.4924318745
29	0.4885224278
30	0.4829581751
31	0.4817711898
32	0.4788684681
33	0.4748993084
34	0.4737077432
35	0.4712583498
36	0.4705047183
37	0.4691548394
38	0.4675963311
39	0.4643689497
40	0.461192172
41	0.4590821434
42	0.4579419638
43	0.4570702065
44	0.4550416365
45	0.4546561077
46	0.4525774023
47	0.4514290383
48	0.4483126578
49	0.4455757966
50	0.4452557617
51	0.4431639697
52	0.4410455864
53	0.4393743548
54	0.4382747362
55	0.4377817601
56	0.4375856067
57	0.4370799316
58	0.4353973016
59	0.4352882735
60	0.4327419601
61	0.4313687121
62	0.4307815207
63	0.4296987999
64	0.4280940612
65	0.4279336223
66	0.4268734654
67	0.4266205403
68	0.4262162816
69	0.4253225792
70	0.423642257
71	0.4234373226
72	0.4233151211
73	0.4227735891
74	0.4217344273
75	0.4209119691
76	0.420147051
77	0.4185654946
78	0.4180253312
79	0.4171157811
80	0.4158713049
81	0.4151236473
82	0.4142772006
83	0.4139850515
84	0.4130999644
85	0.4125701102
86	0.4117372602
87	0.4115281908
88	0.4109220931
89	0.4102618239
90	0.4098138182
91	0.408839272
92	0.4079282096
93	0.4072851637
94	0.4068447312
95	0.4060002656
96	0.4057575916
97	0.4052619023
98	0.4047100552
99	0.4040901606
100	0.4036574554
101	0.4024837094
102	0.4012360923
103	0.4003493492
104	0.3995651652
105	0.3994365285
106	0.3991298741
107	0.3990466246
108	0.3988640627
109	0.3983785522
110	0.3982385772
111	0.3975896175
112	0.3972570073
113	0.3968362164
114	0.3966476785
115	0.3963783415
116	0.3954753161
117	0.3954331745
118	0.3953703937
119	0.3951109062
120	0.3949920439
121	0.3947850725
122	0.3945918681
123	0.3941874512
124	0.3939859846
125	0.3936479335
126	0.3936479334
127	0.393301906
128	0.3931601543
129	0.3925929725
130	0.3915814858
131	0.3911395522
132	0.3907980641
133	0.3904782237
134	0.3904591592
135	0.3903410256
136	0.3898531618
137	0.389506206
138	0.388949763
139	0.3889469662
140	0.3886722086
141	0.3881554544
142	0.3880620388
143	0.3880189767
144	0.3877682384
145	0.3876202969
146	0.3875011482
147	0.3874670871
148	0.3872242354
149	0.3867459756
150	0.3863275467
151	0.3860957016
152	0.3857579112
153	0.3857344099
154	0.3849525271
155	0.3841177878
156	0.3837929964
157	0.3837095257
158	0.3826818752
159	0.3826255663
160	0.3823881279
161	0.3819763783
162	0.3816736556
163	0.3813405449
164	0.3813125601
165	0.3812650275
166	0.3812008442
167	0.3808873071
168	0.380783299
169	0.3805341717
170	0.3801572438
171	0.3800637832
172	0.3799272016
173	0.3798811167
174	0.3798497221
175	0.3797735916
176	0.3796935716
177	0.3792372369
178	0.3786964237
179	0.3786381831
180	0.3784667167
181	0.3784220985
182	0.3778360525
183	0.3777709182
184	0.3773692433
185	0.3771794723
186	0.3771358603
187	0.3770811018
188	0.3770196322
189	0.3768567499
190	0.3766991758
191	0.3763675376
192	0.3760653642
193	0.3760031684
194	0.3758722514
195	0.3755978408
196	0.3755046494
197	0.3753748275
198	0.3751354743
199	0.3750608566
200	0.3749669678
201	0.3748198373
202	0.3746867166
203	0.3744399785
204	0.3744359028
