iter	Passed	Remaining
0	28	28466
1	55	27513
2	83	27678
3	110	27538
4	139	27667
5	167	27712
6	194	27655
7	223	27719
8	237	26127
9	266	26414
10	300	26978
11	330	27186
12	359	27297
13	388	27353
14	421	27681
15	447	27549
16	477	27609
17	506	27610
18	533	27541
19	560	27465
20	589	27504
21	616	27421
22	645	27399
23	673	27379
24	702	27379
25	728	27306
26	757	27291
27	783	27197
28	811	27173
29	838	27098
30	866	27094
31	895	27081
32	922	27035
33	948	26962
34	977	26954
35	1001	26805
36	1035	26951
37	1068	27059
38	1101	27145
39	1128	27094
40	1157	27084
41	1186	27059
42	1212	26995
43	1240	26952
44	1268	26910
45	1296	26880
46	1324	26847
47	1352	26825
48	1380	26787
49	1411	26816
50	1437	26750
51	1465	26720
52	1494	26706
53	1522	26671
54	1549	26629
55	1558	26278
56	1573	26025
57	1599	25985
58	1628	25976
59	1648	25821
60	1673	25768
61	1704	25783
62	1731	25746
63	1758	25715
64	1784	25666
65	1811	25635
66	1839	25615
67	1867	25599
68	1881	25389
69	1907	25344
70	1935	25326
71	1963	25313
72	1991	25293
73	2019	25264
74	2045	25233
75	2072	25199
76	2100	25175
77	2128	25158
78	2155	25124
79	2186	25142
80	2213	25118
81	2241	25091
82	2277	25164
83	2300	25087
84	2327	25054
85	2354	25026
86	2377	24945
87	2404	24918
88	2431	24892
89	2459	24872
90	2486	24835
91	2499	24664
92	2526	24636
93	2554	24623
94	2580	24586
95	2608	24563
96	2635	24531
97	2662	24508
98	2691	24492
99	2717	24458
100	2744	24430
101	2772	24406
102	2781	24226
103	2807	24191
104	2835	24165
105	2862	24142
106	2890	24120
107	2915	24082
108	2942	24056
109	2952	23885
110	2979	23862
111	2999	23781
112	3026	23757
113	3053	23734
114	3080	23710
115	3108	23689
116	3135	23660
117	3163	23646
118	3190	23618
119	3217	23595
120	3243	23565
121	3272	23549
122	3297	23513
123	3325	23493
124	3352	23470
125	3380	23447
126	3407	23424
127	3424	23331
128	3452	23311
129	3481	23298
130	3508	23276
131	3534	23238
132	3561	23219
133	3588	23194
134	3615	23166
135	3643	23144
136	3670	23123
137	3692	23064
138	3720	23044
139	3748	23024
140	3775	22999
141	3803	22981
142	3829	22952
143	3858	22934
144	3884	22904
145	3906	22852
146	3933	22827
147	3959	22792
148	3986	22768
149	3999	22666
150	4026	22639
151	4054	22622
152	4081	22593
153	4108	22570
154	4135	22543
155	4162	22520
156	4190	22500
157	4217	22476
158	4245	22454
159	4272	22433
160	4299	22402
161	4326	22381
162	4354	22359
163	4381	22336
164	4409	22313
165	4435	22284
166	4463	22264
167	4478	22180
168	4504	22151
169	4533	22131
170	4559	22102
171	4587	22081
172	4615	22062
173	4640	22031
174	4669	22012
175	4699	22001
176	4726	21974
177	4754	21956
178	4782	21937
179	4809	21908
180	4838	21891
181	4865	21865
182	4891	21838
183	4919	21815
184	4946	21793
185	4973	21765
186	5001	21742
187	5027	21712
188	5054	21690
189	5082	21668
190	5110	21645
191	5138	21622
192	5178	21651
193	5204	21622
194	5232	21599
195	5260	21577
196	5286	21549
197	5314	21526
198	5343	21507
199	5369	21476
200	5396	21453
201	5424	21429
202	5451	21402
203	5479	21378
204	5506	21353
205	5534	21332
206	5562	21307
207	5590	21285
208	5616	21256
209	5645	21236
210	5671	21208
211	5700	21190
212	5726	21159
213	5754	21136
214	5782	21112
215	5809	21086
216	5836	21058
217	5864	21038
218	5892	21015
219	5919	20987
220	5947	20964
221	5973	20934
222	6001	20911
223	6029	20887
224	6056	20859
225	6083	20833
226	6111	20810
227	6137	20780
228	6165	20758
229	6191	20728
230	6219	20704
231	6245	20675
232	6271	20646
233	6299	20621
234	6326	20594
235	6352	20565
236	6384	20553
237	6410	20524
238	6438	20500
239	6478	20514
240	6506	20491
241	6531	20458
242	6560	20437
243	6588	20412
244	6615	20386
245	6641	20357
246	6668	20330
247	6696	20305
248	6724	20282
249	6751	20254
250	6779	20230
251	6808	20208
252	6836	20185
253	6863	20158
254	6891	20134
255	6918	20106
256	6947	20084
257	6973	20054
258	6998	20023
259	7027	20000
260	7054	19974
261	7080	19945
262	7108	19920
263	7137	19897
264	7164	19870
265	7193	19850
266	7221	19824
267	7251	19806
268	7282	19789
269	7312	19771
270	7340	19745
271	7371	19728
272	7402	19711
273	7430	19687
274	7458	19662
275	7487	19641
276	7517	19622
277	7547	19600
278	7577	19581
279	7607	19561
280	7636	19539
281	7666	19519
282	7695	19497
283	7723	19471
284	7751	19446
285	7778	19418
286	7805	19390
287	7832	19364
288	7859	19334
289	7887	19310
290	7914	19282
291	7940	19252
292	7968	19228
293	7996	19202
294	8022	19172
295	8049	19145
296	8079	19123
297	8107	19098
298	8136	19075
299	8165	19052
300	8194	19029
301	8223	19007
302	8252	18982
303	8279	18956
304	8309	18933
305	8338	18912
306	8369	18892
307	8408	18891
308	8448	18892
309	8477	18869
310	8506	18845
311	8534	18818
312	8561	18792
313	8588	18763
314	8617	18740
315	8643	18709
316	8671	18682
317	8707	18674
318	8736	18650
319	8764	18625
320	8792	18599
321	8821	18574
322	8847	18544
323	8883	18534
324	8911	18507
325	8939	18481
326	8965	18452
327	8992	18424
328	9022	18400
329	9049	18373
330	9077	18346
331	9105	18320
332	9132	18292
333	9159	18265
334	9185	18233
335	9216	18213
336	9243	18184
337	9270	18157
338	9298	18130
339	9324	18101
340	9352	18073
341	9379	18045
342	9407	18018
343	9433	17989
344	9460	17961
345	9487	17932
346	9515	17905
347	9542	17878
348	9569	17850
349	9597	17824
350	9625	17796
351	9651	17767
352	9678	17739
353	9706	17713
354	9733	17684
355	9761	17658
356	9787	17627
357	9814	17600
358	9842	17573
359	9869	17546
360	9898	17520
361	9925	17493
362	9953	17465
363	9980	17438
364	10006	17408
365	10034	17382
366	10062	17356
367	10090	17328
368	10116	17299
369	10144	17273
370	10172	17246
371	10200	17220
372	10226	17190
373	10253	17161
374	10281	17135
