iter	RMSE
0	1.091013909
1	1.008495655
2	0.9350425383
3	0.908421925
4	0.8933025772
5	0.8708593013
6	0.8614472354
7	0.8518278554
8	0.8474751126
9	0.8346807994
10	0.8309843999
11	0.8278084834
12	0.8085585215
13	0.8050736637
14	0.7951262898
15	0.7837070072
16	0.7779823026
17	0.7547092491
18	0.7479850177
19	0.7416229196
20	0.7256601208
21	0.7224679172
22	0.7114575972
23	0.6970576435
24	0.6940175262
25	0.689929917
26	0.6825146601
27	0.6800834143
28	0.6708926625
29	0.6626760865
30	0.6558939177
31	0.6519890175
32	0.6489564243
33	0.6460146499
34	0.6428818225
35	0.637813977
36	0.6313357349
37	0.6255524483
38	0.6245848604
39	0.6241643349
