iter	Passed	Remaining
0	10	5375
1	24	6183
2	38	6422
3	53	6598
4	67	6669
5	80	6650
6	94	6672
7	108	6676
8	122	6658
9	136	6668
10	150	6689
11	164	6672
12	178	6677
13	191	6651
14	207	6715
15	220	6684
16	235	6679
17	248	6655
18	262	6640
19	276	6634
20	290	6626
21	303	6603
22	317	6590
23	331	6577
24	345	6564
25	359	6555
26	373	6545
27	386	6522
28	400	6508
29	414	6498
30	428	6486
31	442	6473
32	456	6455
33	470	6443
34	483	6430
35	497	6409
36	510	6393
37	524	6379
38	538	6363
39	551	6346
40	565	6325
41	578	6306
42	591	6291
43	605	6276
44	618	6258
45	632	6243
46	646	6234
47	661	6224
48	674	6208
49	688	6197
50	702	6183
51	715	6166
52	729	6154
53	743	6144
54	758	6133
55	771	6117
56	784	6097
57	798	6083
58	811	6067
59	825	6053
60	838	6035
61	851	6018
62	864	5999
63	878	5982
64	892	5969
65	905	5955
66	919	5940
67	932	5923
68	945	5905
69	959	5892
70	973	5881
71	987	5869
72	1000	5852
73	1014	5839
74	1027	5822
75	1041	5809
76	1055	5797
77	1069	5783
78	1082	5768
79	1096	5755
80	1110	5742
81	1123	5727
82	1137	5714
83	1150	5699
84	1164	5684
85	1178	5671
86	1192	5658
87	1208	5656
88	1221	5642
89	1235	5626
90	1248	5610
91	1261	5595
92	1274	5578
93	1288	5563
94	1304	5561
95	1318	5547
96	1331	5530
97	1344	5516
98	1358	5502
99	1372	5488
100	1385	5474
101	1401	5470
102	1414	5452
103	1428	5438
104	1441	5422
105	1455	5408
106	1468	5394
107	1482	5380
108	1495	5366
109	1509	5352
110	1523	5338
111	1536	5324
112	1551	5313
113	1564	5297
114	1577	5282
115	1592	5270
116	1606	5257
117	1619	5244
118	1633	5229
119	1646	5214
120	1660	5200
121	1674	5188
122	1688	5174
123	1701	5160
124	1715	5147
125	1728	5130
126	1741	5115
127	1755	5101
128	1769	5088
129	1782	5072
130	1795	5057
131	1809	5044
132	1823	5031
133	1837	5018
134	1851	5005
135	1865	4992
136	1878	4977
137	1892	4963
138	1905	4949
139	1919	4934
140	1932	4920
141	1946	4907
142	1960	4893
143	1973	4878
144	1986	4863
145	1999	4848
146	2013	4834
147	2026	4820
148	2040	4806
149	2054	4792
150	2067	4778
151	2081	4765
152	2094	4750
153	2108	4736
154	2122	4724
155	2136	4710
156	2150	4697
157	2163	4683
158	2178	4671
159	2191	4657
160	2205	4644
161	2219	4630
162	2232	4616
163	2246	4602
164	2260	4588
165	2273	4574
166	2287	4561
